"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","2026-02-10 01:08:23","2026-02-10 02:03:20","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 01:08:22","2026-02-10 02:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 01:08:21","2026-02-10 02:03:18","RESOLVED","ODC","Network code NL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 01:08:20","2026-02-10 02:03:17","RESOLVED","INGV","Network code BA missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 01:08:19","2026-02-10 02:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 01:08:18","2026-02-10 02:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 01:08:17","2026-02-10 02:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 01:08:16","2026-02-10 02:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 01:08:15","2026-02-10 02:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central, staging"
"Warning","2026-02-10 01:08:14","2026-02-10 02:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 01:08:13","2026-02-10 02:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 01:08:12","2026-02-10 02:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 23:08:25","2026-02-10 00:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 23:08:24","2026-02-10 00:03:21","RESOLVED","ETH","Network code CH missing in central routing for webservice station","54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-02-09 23:08:23","2026-02-10 00:03:20","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 23:08:22","2026-02-10 00:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 23:08:21","2026-02-10 00:03:18","RESOLVED","ODC","Network code NL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 23:08:20","2026-02-10 00:03:17","RESOLVED","INGV","Network code BA missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 23:08:19","2026-02-10 00:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
